Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
2018/2019,AL,Adapted Basketball,0,0,0,0
2018/2019,AL,Adapted Bocce - Indoor,0,0,0,0
2018/2019,AL,Adapted Bowling,0,0,0,0
2018/2019,AL,Adapted Floor Hockey,0,0,0,0
2018/2019,AL,Adapted Soccer,0,0,0,0
2018/2019,AL,Adapted Softball,0,0,0,0
2018/2019,AL,Adapted Track,0,0,0,0
2018/2019,AL,Adapted Volleyball,0,0,0,0
2018/2019,AL,Adaptive Corn Toss,0,0,0,0
2018/2019,AL,Adaptive Golf,0,0,0,0
2018/2019,AL,Adaptive Handball,0,0,0,0
2018/2019,AL,Adaptive Strength Training,0,0,0,0
2018/2019,AL,Adaptive Tennis,0,0,0,0
2018/2019,AL,Air Riflery,0,0,0,0
2018/2019,AL,Archery,0,0,0,0
2018/2019,AL,Badminton,0,0,0,0
2018/2019,AL,Baseball,396,0,14100,0
2018/2019,AL,Basketball,413,413,13648,8559
2018/2019,AL,Bass Fishing,0,0,0,0
2018/2019,AL,Beach Volleyball,0,0,0,0
2018/2019,AL,Bocce - Outdoor,0,0,0,0
2018/2019,AL,Bowling,108,97,731,610
2018/2019,AL,Canoe Paddling,0,0,0,0
2018/2019,AL,Competitive Spirit* (Boys who cheer/Girls who cheer),0,0,0,0
2018/2019,AL,Crew,0,0,0,0
2018/2019,AL,Cross Country,258,258,3804,2669
2018/2019,AL,Cycling,0,0,0,0
2018/2019,AL,Dance,0,0,0,0
2018/2019,AL,Dance/Drill,0,0,0,0
2018/2019,AL,"Dance Team, High Kick",0,0,0,0
2018/2019,AL,"Dance Team, Jazz",0,0,0,0
2018/2019,AL,Decathlon,30,0,88,0
2018/2019,AL,Drill Team,0,0,0,0
2018/2019,AL,Equestrian,0,0,0,0
2018/2019,AL,Fencing,0,0,0,0
2018/2019,AL,Field Hockey,0,0,0,0
2018/2019,AL,Figure Skating,0,0,0,0
2018/2019,AL,Flag Football,0,0,0,0
2018/2019,AL,Football -- 11-Player,386,0,32366,0
2018/2019,AL,Football -- 6-player,0,0,0,0
2018/2019,AL,Football -- 8-player,0,0,0,0
2018/2019,AL,Football -- 9-player,0,0,0,0
2018/2019,AL,Golf,288,242,1690,784
2018/2019,AL,Gymnastics,0,0,0,0
2018/2019,AL,Heptathlon,0,30,0,66
2018/2019,AL,Ice Hockey,0,0,0,0
2018/2019,AL,Judo,0,0,0,0
2018/2019,AL,Kayaking,0,0,0,0
2018/2019,AL,Lacrosse,0,0,0,0
2018/2019,AL,Martial Arts,0,0,0,0
2018/2019,AL,Mixed 6-Coed Volleyball,0,0,0,0
2018/2019,AL,Mt. Biking,0,0,0,0
2018/2019,AL,Native Youth Olympics,0,0,0,0
2018/2019,AL,Riflery,0,0,0,0
2018/2019,AL,Rock Climbing,0,0,0,0
2018/2019,AL,Rodeo,0,0,0,0
2018/2019,AL,Roller Hockey,0,0,0,0
2018/2019,AL,Rugby,0,0,0,0
2018/2019,AL,Rythmic Gymnastics,0,0,0,0
2018/2019,AL,Sailing,0,0,0,0
2018/2019,AL,Sand Volleyball,0,0,0,0
2018/2019,AL,Skiing -- Alpine,0,0,0,0
2018/2019,AL,Skiing -- Cross Country,0,0,0,0
2018/2019,AL,Snowboarding,0,0,0,0
2018/2019,AL,Soccer,183,172,6916,5434
2018/2019,AL,Softball -- Fast Pitch,0,380,0,9752
2018/2019,AL,Softball -- Slow Pitch,0,0,0,0
2018/2019,AL,Soft Tennis,0,0,0,0
2018/2019,AL,Squash,0,0,0,0
2018/2019,AL,Surfing,0,0,0,0
2018/2019,AL,Swimming & Diving,58,72,742,882
2018/2019,AL,Synchronized Swimming,0,0,0,0
2018/2019,AL,Team Tennis,0,0,0,0
2018/2019,AL,Tennis,170,171,1504,1926
2018/2019,AL,Track and Field -- Indoor,167,167,2728,2047
2018/2019,AL,Track and Field -- Outdoor,356,356,8317,5962
2018/2019,AL,Trap Shooting,0,0,0,0
2018/2019,AL,Ultimate Frisbee,0,0,0,0
2018/2019,AL,Unified Flag Football,0,0,0,0
2018/2019,AL,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,AL,Volleyball,0,392,0,10310
2018/2019,AL,Water Polo,0,0,0,0
2018/2019,AL,Weight Lifting,0,0,0,0
2018/2019,AL,Wrestling,116,0,3080,0
2018/2019,AK,Adapted Basketball,0,0,0,0
2018/2019,AK,Adapted Bocce - Indoor,0,0,0,0
2018/2019,AK,Adapted Bowling,0,0,0,0
2018/2019,AK,Adapted Floor Hockey,0,0,0,0
2018/2019,AK,Adapted Football,0,0,0,0
2018/2019,AK,Adapted Soccer,0,0,0,0
2018/2019,AK,Adapted Softball,0,0,0,0
2018/2019,AK,Adapted Track,0,0,0,0
2018/2019,AK,Adapted Volleyball,0,0,0,0
2018/2019,AK,Adaptive Corn Toss,0,0,0,0
2018/2019,AK,Adaptive Golf,0,0,0,0
2018/2019,AK,Adaptive Handball,0,0,0,0
2018/2019,AK,Adaptive Strength Training,0,0,0,0
2018/2019,AK,Adaptive Tennis,0,0,0,0
2018/2019,AK,Air Riflery,0,0,0,0
2018/2019,AK,Archery,0,0,0,0
2018/2019,AK,Badminton,0,0,0,0
2018/2019,AK,Baseball,25,2,717,16
2018/2019,AK,Basketball,120,113,1920,1513
2018/2019,AK,Bass Fishing,0,0,0,0
2018/2019,AK,Beach Volleyball,0,0,0,0
2018/2019,AK,Bocce - Outdoor,0,0,0,0
2018/2019,AK,Bowling,8,8,110,110
2018/2019,AK,Canoe Paddling,0,32,6,154
2018/2019,AK,Competitive Spirit* (Boys who cheer/Girls who cheer),10,18,25,209
2018/2019,AK,Crew,0,0,0,0
2018/2019,AK,Cross Country,83,80,1003,791
2018/2019,AK,Cycling,0,0,0,0
2018/2019,AK,Dance,0,0,0,0
2018/2019,AK,Dance/Drill,2,2,2,3
2018/2019,AK,"Dance Team, High Kick",0,0,0,0
2018/2019,AK,"Dance Team, Jazz",0,3,0,50
2018/2019,AK,Decathlon,0,0,0,0
2018/2019,AK,Drill Team,0,0,0,0
2018/2019,AK,Equestrian,0,0,0,0
2018/2019,AK,Fencing,0,0,0,0
2018/2019,AK,Field Hockey,0,0,0,0
2018/2019,AK,Figure Skating,0,0,0,0
2018/2019,AK,Flag Football,0,13,0,475
2018/2019,AK,Football -- 11-Player,30,10,1564,52
2018/2019,AK,Football -- 6-player,0,0,0,0
2018/2019,AK,Football -- 8-player,0,0,0,0
2018/2019,AK,Football -- 9-player,0,0,0,0
2018/2019,AK,Golf,0,0,0,0
2018/2019,AK,Gymnastics,0,9,0,103
2018/2019,AK,Heptathlon,0,0,0,0
2018/2019,AK,Ice Hockey,24,12,614,40
2018/2019,AK,Judo,0,0,0,0
2018/2019,AK,Kayaking,0,0,0,0
2018/2019,AK,Lacrosse,0,0,0,0
2018/2019,AK,Martial Arts,0,0,0,0
2018/2019,AK,Mixed 6-Coed Volleyball,62,62,327,600
2018/2019,AK,Mt. Biking,0,0,0,0
2018/2019,AK,Native Youth Olympics,0,0,0,0
2018/2019,AK,Riflery,12,8,140,56
2018/2019,AK,Rock Climbing,0,0,0,0
2018/2019,AK,Rodeo,0,0,0,0
2018/2019,AK,Roller Hockey,0,0,0,0
2018/2019,AK,Rugby,0,0,0,0
2018/2019,AK,Rythmic Gymnastics,0,0,0,0
2018/2019,AK,Sailing,0,0,0,0
2018/2019,AK,Sand Volleyball,0,0,0,0
2018/2019,AK,Skiing -- Alpine,0,0,0,0
2018/2019,AK,Skiing -- Cross Country,20,18,582,324
2018/2019,AK,Snowboarding,0,0,0,0
2018/2019,AK,Soccer,40,37,929,960
2018/2019,AK,Softball -- Fast Pitch,1,28,2,767
2018/2019,AK,Softball -- Slow Pitch,0,0,0,0
2018/2019,AK,Soft Tennis,0,0,0,0
2018/2019,AK,Squash,0,0,0,0
2018/2019,AK,Surfing,0,0,0,0
2018/2019,AK,Swimming & Diving,30,31,398,466
2018/2019,AK,Synchronized Swimming,0,0,0,0
2018/2019,AK,Team Tennis,0,0,0,0
2018/2019,AK,Tennis,19,19,205,225
2018/2019,AK,Track and Field -- Indoor,0,0,0,0
2018/2019,AK,Track and Field -- Outdoor,48,45,1225,961
2018/2019,AK,Trap Shooting,0,0,0,0
2018/2019,AK,Ultimate Frisbee,0,0,0,0
2018/2019,AK,Unified Flag Football,0,0,0,0
2018/2019,AK,Unified Track and Field -- Outdoor,0,0,0,0
2018/2019,AK,Volleyball,68,106,327,1907
2018/2019,AK,Water Polo,0,0,0,0
2018/2019,AK,Weight Lifting,0,0,0,0
2018/2019,AK,Wrestling,98,69,1249,347
2018/2019,AZ,Adapted Basketball,0,0,0,0
2018/2019,AZ,Adapted Bocce - Indoor,0,0,0,0
2018/2019,AZ,Adapted Bowling,0,0,0,0
2018/2019,AZ,Adapted Floor Hockey,0,0,0,0
2018/2019,AZ,Adapted Football,0,0,0,0
2018/2019,AZ,Adapted Soccer,0,0,0,0
2018/2019,AZ,Adapted Softball,0,0,0,0
2018/2019,AZ,Adapted Track,0,0,0,0
2018/2019,AZ,Adapted Volleyball,0,0,0,0
2018/2019,AZ,Adaptive Corn Toss,0,0,0,0
2018/2019,AZ,Adaptive Golf,0,0,0,0
2018/2019,AZ,Adaptive Handball,0,0,0,0
2018/2019,AZ,Adaptive Strength Training,0,0,0,0
2018/2019,AZ,Adaptive Tennis,0,0,0,0
2018/2019,AZ,Air Riflery,0,0,0,0
2018/2019,AZ,Archery,0,0,0,0
2018/2019,AZ,Badminton,0,71,0,1412
2018/2019,AZ,Baseball,240,11,7509,18
2018/2019,AZ,Basketball,260,259,8219,6322
2018/2019,AZ,Bass Fishing,0,0,0,0
2018/2019,AZ,Beach Volleyball,0,0,0,0
2018/2019,AZ,Bocce - Outdoor,0,0,0,0
2018/2019,AZ,Bowling,0,0,0,0
2018/2019,AZ,Canoe Paddling,0,0,0,0
2018/2019,AZ,Competitive Spirit* (Boys who cheer/Girls who cheer),94,212,322,6098
2018/2019,AZ,Crew,0,0,0,0
2018/2019,AZ,Cross Country,237,236,3507,2687
2018/2019,AZ,Cycling,0,0,0,0
2018/2019,AZ,Dance,0,0,0,0
2018/2019,AZ,Dance/Drill,0,0,0,0
2018/2019,AZ,"Dance Team, High Kick",0,0,0,0
2018/2019,AZ,"Dance Team, Jazz",0,0,0,0
2018/2019,AZ,Decathlon,0,0,0,0
2018/2019,AZ,Drill Team,0,0,0,0
2018/2019,AZ,Equestrian,0,0,0,0
2018/2019,AZ,Fencing,0,0,0,0
2018/2019,AZ,Field Hockey,0,0,0,0
2018/2019,AZ,Figure Skating,0,0,0,0
2018/2019,AZ,Flag Football,0,0,0,0
2018/2019,AZ,Football -- 11-Player,209,47,16498,79
2018/2019,AZ,Football -- 6-player,0,0,0,0
2018/2019,AZ,Football -- 8-player,25,6,1974,9
